AphiaID,TAXON
235937,Umbellosphaera irregularis+Umbellosphaera tenuis (ITIS: 2267: WoRMS 235937)
,
235966,Rhabdosphaera (ITIS: 2262: WoRMS 235966)
235966,Rhabdosphaera claviger+Rhabdosphaera stylifera (ITIS: 2262: WoRMS 235966)
,
235972,Rhabdosphaera claviger (ITIS: 2264: WoRMS 235972)
235972,Rhabdosphaera clavigera (ITIS: 2264: WoRMS 235972)
,
325345,Pteropoda (ITIS: 198379: WoRMS 325345)
325345,Pteropoda (ITIS: 198385: WoRMS 325345)
,
342434,Calanoidea acutus (ITIS: 610031: WoRMS 342434)
342434,Calanoides acutus (ITIS: 610031: WoRMS 342434)
342434,Calanoides acutus (WoRMS 342434)
,
342435,Calanus propinquus (ITIS: 610032: WoRMS 342435)
342435,Calanus propinquus (WoRMS 342435)
,
344974,Paraeuchaeta antarctica (ITIS: 667219: WoRMS 344974)
344974,Paraeuchaeta antarctica (WoRMS 344974)
,
414712,Scuticocilatia (WoRMS 414712)
414712,Scuticociliatia (WoRMS 414712)
,
51,Mollusca (ITIS: 69458: WoRMS 51)
51,Mollusca (WoRMS 51)
,
8012,Euglena (ITIS: 9620: WoRMS 8012)
8012,Euglena-like (ITIS: 9620: WoRMS 8012)
,
959,Typhloscolecidae (ITIS: 65448: WoRMS 959)
959,Typhloscolex / Travisiopsis (ITIS: 65448: WoRMS 959)
