DTYPE,MATRX,METPT,S26_label
CW,SPM,NONE,Check DTYPE/MATRX/METPT combination. Not mapped.
CW,SPM,FM-PC-0.4,Check DTYPE/MATRX/METPT combination. Not mapped.
CW,SPM,NF,Check DTYPE/MATRX/METPT combination. Not mapped.
CW,SPM,FF-GF-1.2,Check DTYPE/MATRX/METPT combination. Not mapped.
CW,SPM,GFC1.2,Check DTYPE/MATRX/METPT combination. Not mapped.
